MatterID,Status,CaseSequenceNumber
22107276,Open,16-2021-SC-011607-XXXX-MA
22107289,Open,16-2021-SC-013552-XXXX-MA
22107291,Open,16-2021-SC-011979-3000C-MA
22107300T,Open,16-2021-SC-011416-XXXX-MA
22107410,Open,16-2021-SC-013599-XXXX-MA
22107555,Open,16-2021-SC-010785-XXXX-MA
22107676,Open,16-2021-SC-014709-XXXX-MA
22107919,Open,2021-CA-002892-XXXX-MA
22107964J,Open,16-2021-SC-014729-XXXX-MA
22107965J,Open,16-2021-SC-014146-XXXX-MA
22107969J,Open,16-2021-SC-015176-XXXX-MA
22108434,Open,16-2021-SC-005073-XXXX-MA
22108444T,Open,162021SC015274XXXXMA
22109450T,Open,2021-SC-015081-XXXX-MA
22110438J,Open,2021-SC-013991-XXXX-MA
22110447J,Open,2021-SC-005816-XXXX-MA
22110970T,Open,16-2021-SC-017789-XXXX-MA
22111904J,Open,2021-SC-017132-XXXX
22113984T,Open,2021-SC-005390-XXXX-MA
22116540,Open,16-2021-SC-017559-XXXX-MA
22116686,Open,16-2021-SC-017804-XXXX-MA
22117838T,Open,16-2021-SC-018145-XXXX-MA
22120844T,Open,16-2021-SC-019152-XXXX-MA
22121064,Open,2021-SC-015325-XXXX-MA
22121065T,Open,2021-SC-012253-XXXX-MA
22121572J,Open,16-2021-SC-017519-XXXX-MA
22122520,Open,2021-CA-003972-XXXX-MA 
22124758J,Open,16-2021-SC-019058-XXXX-MA
22124760J,Open,16-2021-SC-018807-XXXX-MA
22124908,Open,16-2021-SC-018803-XXXX-MA
22124910,Open,16-2021-SC-018549-XXXX-MA
22125165,Open,16-2021-SC-018207-XXXX-MA
22126377J,Open,16-2021-SC-020425-3000C-MA
22129009,Open,16-2021-SC-022161-XXXX-MA
22129480J,Open,2021-SC-022310-XXXX-MA
22129795T,Open,16-2021-SC-021962-XXXX-MA
22129872J,Open,16-2021-SC-022071-XXXX-MA
22130376,Open,16-2021-SC-024581-XXXX-MA
22130378,Open,16-2021-SC-024174-XXXX-MA
22130414,Open,2021-CA-004564
22130513,Open,16-2021-SC-024353-XXXX-MA
22130618,Open,16-2021-CA-004144-XXXX-MA
22130640,Open,16-2021-SC-025320-XXXX-MA
22130655,Open,16-2021-SC-024181-XXXX-MA
22130705,Open,2020-SC-023206
22130947,Open,16-2021-SC-021877-XXXX-MA
22131047J,Open,16-2021-SC-023419-XXXX-MA
22131240,Open,16-2021-SC-025321-XXXX-MA
22131257J,Open,16-2021-SC-025617-XXXX-MA
22131277T,Open,2021-SC-021862-XXXX-MA
22131426T,Open,16-2021-SC-024200-XXXX-MA
22131775J,Open,16-2021-SC-022734-XXXX-MA
22131930J,Open,16-2021-SC-023393-XXXX-MA
22131981J,Open,16-2021-SC-023397-XXXX-MA
22132057,Open,16-2022-SC-003892 
22132123,Open,2021-CA-005205
22132407J,Open,2021-SC-017928-XXXX-MA
22132426J,Open,16-2021-SC-024411-XXXX-MA
22132553J,Open,16-2021-SC-024085-XXXX-MA
22132556J,Open,16-2021-SC-024435-XXXX-MA
22132631J,Open,16-2021-SC-024437-XXXX-MA
22132716T,Open,16-2021-SC-024804-XXXX-MA
22132776,Open,2021-CA-005238
22132827,Open,16-2021-CA-005520-XXXX-MA
22132874J,Open,16-2021-SC-024894-XXXX-MA
22132877J,Open,16-2021-SC-026527-XXXX-MA
22132897J,Open,16-2021-SC-025294-XXXX-MA
22132912,Open,16-2021-SC-029069-XXXX-MA
22132965J,Open,2021-SC-025796-XXXX-MA
22133016,Open,2021-CA-005686
22133300J,Open,16-2021-SC-019246-XXXX-MA
22133305J,Open,16-2021-SC-028082-XXXX-MA
22133323J,Open,16-2021-SC-029135-XXXX-MA
22133467J,Open,16-2021-SC-022709-XXXX-MA
22133518T,Open,16-2021-SC-029264-XXXX-MA
22133528J,Open,16-2021-SC-013786-XXXX-MA
22133657,Open,16-2021-SC-029068-XXXX-MA
22133973T,Open,16-2021-SC-029806-XXXX-MA
22134002,Open,16-2021-CA-005884-XXXX-MA-Div. CV-F
22134303J,Open,16-2021-SC-032264-INSX-MA
22134337,Open,16-2021-CA-005907
22134356,Open,16-2021-SC-030440-XXXX-MA
22134365,Open,16-2021-SC-030217-XXXX-MA
22134388,Open,16-2021-CA-005782-XXXX-MA
22134407,Open,16-2021-SC-030569-XXXX-MA
22134459J,Open,16-2021-SC-030507-XXXX-MA
22134510J,Open,16-2021-SC-030884-XXXX-MA
